,interview_code,sequences,transcripts_available
120,11061,"['topic_4', 'topic_3', 'topic_12', 'topic_18', 'topic_1']",False
121,11069,"['topic_12', 'topic_9', 'topic_12']",False
122,11072,"['topic_3', 'topic_12', 'topic_2']",False
123,11089,"['topic_8', 'topic_4', 'topic_5', 'topic_0', 'topic_19']",True
124,11096,"['topic_8', 'topic_10', 'topic_4', 'topic_1', 'topic_5', 'topic_10', 'topic_3', 'topic_2', 'topic_6', 'topic_6', 'topic_12', 'topic_12', 'topic_0']",False
125,11097,['topic_3'],False
126,11128,"['topic_9', 'topic_0_10', 'topic_13', 'topic_4', 'topic_18', 'topic_5']",False
127,1114,['topic_1'],False
128,11143,"['topic_9', 'topic_9', 'topic_0_10', 'topic_6', 'topic_6', 'topic_5', 'topic_20', 'topic_9', 'topic_4', 'topic_21', 'topic_1', 'topic_16_18', 'topic_18', 'topic_10', 'topic_8']",False
129,11146,['topic_1'],False
130,11159,"['topic_10', 'topic_1', 'topic_9_10']",False
131,11190,"['topic_9', 'topic_10', 'topic_4', 'topic_1', 'topic_6', 'topic_12', 'topic_18', 'topic_12', 'topic_12', 'topic_15', 'topic_13_15', 'topic_6_13', 'topic_1_15', 'topic_13', 'topic_5']",False
132,11191,"['topic_4', 'topic_1', 'topic_18']",False
133,11203,"['topic_4', 'topic_10', 'topic_7', 'topic_12_15', 'topic_15', 'topic_15', 'topic_7_15', 'topic_12_15_21', 'topic_12', 'topic_0', 'topic_12_21', 'topic_6_12', 'topic_15', 'topic_7', 'topic_6_7_15', 'topic_7', 'topic_14', 'topic_0_18', 'topic_6', 'topic_12', 'topic_7']",False
134,11235,"['topic_4', 'topic_12']",False
135,11239,"['topic_9', 'topic_9', 'topic_6_10', 'topic_4', 'topic_0_10', 'topic_1', 'topic_6_10']",False
136,1125,['topic_10'],False
137,11269,"['topic_9', 'topic_8']",False
138,11271,"['topic_9_10', 'topic_4', 'topic_12', 'topic_1', 'topic_3']",False
139,11272,"['topic_9', 'topic_4', 'topic_1', 'topic_12', 'topic_6', 'topic_1', 'topic_13_19', 'topic_21', 'topic_21', 'topic_2', 'topic_2']",True
140,11277,"['topic_10', 'topic_9', 'topic_1', 'topic_2']",False
141,11286,"['topic_5', 'topic_10', 'topic_4_10', 'topic_1', 'topic_0_10', 'topic_3', 'topic_1', 'topic_2_8']",False
142,11287,"['topic_9', 'topic_10', 'topic_3_4', 'topic_1', 'topic_12', 'topic_18', 'topic_14_21', 'topic_14', 'topic_14', 'topic_6_14', 'topic_5', 'topic_5', 'topic_12', 'topic_0_18_21', 'topic_0_6_18', 'topic_10', 'topic_0_10', 'topic_14', 'topic_16', 'topic_14']",False
143,113,"['topic_10', 'topic_4', 'topic_0', 'topic_1', 'topic_18']",False
144,11302,"['topic_9', 'topic_0_6_10', 'topic_3_12', 'topic_12', 'topic_0_7_18', 'topic_0_12', 'topic_0_11', 'topic_0_12_18', 'topic_17_21', 'topic_21', 'topic_7', 'topic_7', 'topic_0_18', 'topic_21', 'topic_11', 'topic_2', 'topic_2', 'topic_9', 'topic_7_9_10', 'topic_0_9', 'topic_5_10', 'topic_9', 'topic_4', 'topic_18', 'topic_10', 'topic_10', 'topic_1', 'topic_1', 'topic_15', 'topic_21', 'topic_7_21', 'topic_15', 'topic_10_19']",False
145,11303,"['topic_10', 'topic_4', 'topic_0_12', 'topic_0_18', 'topic_17_21', 'topic_21', 'topic_2_8', 'topic_2']",False
146,11312,"['topic_0_18', 'topic_1', 'topic_5', 'topic_10', 'topic_4', 'topic_4', 'topic_1']",False
147,11321,"['topic_10', 'topic_4', 'topic_18', 'topic_6', 'topic_2']",False
148,11332,"['topic_12', 'topic_3', 'topic_5', 'topic_0_18', 'topic_12', 'topic_10', 'topic_12', 'topic_4']",False
149,11338,['topic_10'],False
150,11368,"['topic_12', 'topic_1', 'topic_19', 'topic_2']",False
151,1137,"['topic_2', 'topic_21', 'topic_2', 'topic_8', 'topic_6_10', 'topic_4', 'topic_5', 'topic_9', 'topic_9', 'topic_1_12', 'topic_13', 'topic_15', 'topic_15', 'topic_15']",False
152,11388,"['topic_10', 'topic_4', 'topic_12']",False
153,1139,"['topic_3_4', 'topic_10']",False
