,interview_code,sequences,transcripts_available
125,10696,"['topic_4', 'topic_12', 'topic_1', 'topic_6_12', 'topic_6_12', 'topic_5', 'topic_14', 'topic_2', 'topic_1', 'topic_2']",False
126,10699,"['topic_9_10', 'topic_4', 'topic_1', 'topic_5_21', 'topic_5_12', 'topic_10', 'topic_12', 'topic_6_7', 'topic_7_21', 'topic_20', 'topic_12']",True
127,1070,"['topic_18', 'topic_0']",False
128,10702,"['topic_10', 'topic_4_6_9', 'topic_1', 'topic_10']",False
129,10705,"['topic_4_10', 'topic_16', 'topic_1_7_18', 'topic_1_8_12_18', 'topic_6']",False
130,10712,"['topic_4_6_9_10', 'topic_9', 'topic_1', 'topic_3_4', 'topic_12', 'topic_12', 'topic_5', 'topic_6', 'topic_21', 'topic_15', 'topic_5', 'topic_10', 'topic_6', 'topic_12', 'topic_18_19', 'topic_2_7']",False
131,10722,"['topic_6', 'topic_1', 'topic_21', 'topic_5', 'topic_2', 'topic_21', 'topic_6_10']",False
132,10723,"['topic_10', 'topic_9', 'topic_21', 'topic_3', 'topic_1', 'topic_21']",False
133,10724,"['topic_9', 'topic_4', 'topic_0', 'topic_1']",False
134,10733,"['topic_21', 'topic_8', 'topic_8_10', 'topic_21', 'topic_4', 'topic_0_10', 'topic_0_10_21', 'topic_12', 'topic_6', 'topic_0', 'topic_6', 'topic_18', 'topic_21', 'topic_0_21', 'topic_7']",False
135,10736,"['topic_4_10', 'topic_9', 'topic_6', 'topic_4_11', 'topic_1_5', 'topic_10_20']",False
136,10737,"['topic_9_10', 'topic_4', 'topic_5', 'topic_0', 'topic_10', 'topic_10', 'topic_2']",False
137,10739,"['topic_9', 'topic_2_8']",False
138,10741,['topic_9'],False
139,10746,"['topic_8_9', 'topic_1']",False
140,1075,"['topic_9', 'topic_9', 'topic_10', 'topic_18', 'topic_9', 'topic_9', 'topic_5', 'topic_9']",False
141,10750,"['topic_8_10', 'topic_1', 'topic_10', 'topic_7']",False
142,10766,"['topic_10', 'topic_18']",False
143,10767,"['topic_9', 'topic_4', 'topic_10', 'topic_11']",False
144,10772,"['topic_1', 'topic_2_8', 'topic_3', 'topic_6_21', 'topic_2_8_9']",False
145,10773,['topic_4'],False
146,10775,"['topic_8_10', 'topic_4_11', 'topic_3']",False
147,10779,"['topic_1', 'topic_1', 'topic_2_8', 'topic_13']",False
148,10788,"['topic_8_9', 'topic_10', 'topic_6', 'topic_4', 'topic_9', 'topic_18', 'topic_12', 'topic_3', 'topic_9', 'topic_1', 'topic_12', 'topic_18']",False
149,1079,"['topic_9', 'topic_13', 'topic_9', 'topic_4', 'topic_1', 'topic_12', 'topic_15', 'topic_7_15', 'topic_5', 'topic_3', 'topic_8', 'topic_8', 'topic_12', 'topic_0', 'topic_12']",False
150,10791,"['topic_5_20', 'topic_2']",False
151,10792,"['topic_10', 'topic_4_5', 'topic_21', 'topic_3', 'topic_10', 'topic_12', 'topic_10_12', 'topic_5', 'topic_10_12', 'topic_2_6']",False
152,10793,"['topic_9', 'topic_7', 'topic_4', 'topic_5', 'topic_12', 'topic_18', 'topic_2']",False
153,10810,"['topic_21', 'topic_2', 'topic_10', 'topic_5', 'topic_3_4', 'topic_3', 'topic_12', 'topic_15', 'topic_7', 'topic_1', 'topic_10', 'topic_12', 'topic_12', 'topic_7', 'topic_15']",False
154,10827,"['topic_9', 'topic_18', 'topic_4', 'topic_1', 'topic_0_18', 'topic_1', 'topic_21', 'topic_9_10', 'topic_9', 'topic_21', 'topic_2_6', 'topic_7']",False
155,10831,"['topic_14', 'topic_6_9_10_14', 'topic_6', 'topic_12', 'topic_10_14_15', 'topic_6_14_15', 'topic_9_17_21', 'topic_6_10', 'topic_6_7']",False
156,10836,"['topic_8', 'topic_9_10', 'topic_6', 'topic_5', 'topic_9', 'topic_4', 'topic_11', 'topic_1', 'topic_10', 'topic_7_21']",False
157,10841,"['topic_2_8_9_10', 'topic_15', 'topic_1', 'topic_7', 'topic_5', 'topic_3_4', 'topic_1', 'topic_0_12', 'topic_1_10']",False
158,10842,"['topic_9', 'topic_4', 'topic_7', 'topic_1', 'topic_6']",False
159,10849,"['topic_4_9', 'topic_9', 'topic_9', 'topic_4', 'topic_6_9', 'topic_1']",False
160,10851,"['topic_10', 'topic_1', 'topic_10', 'topic_21']",False
161,10858,"['topic_10', 'topic_11', 'topic_2', 'topic_4', 'topic_5']",False
162,1086,"['topic_4', 'topic_0_18', 'topic_5', 'topic_1', 'topic_1', 'topic_21', 'topic_13']",False
163,10864,"['topic_9', 'topic_10']",False
164,10866,"['topic_9', 'topic_4', 'topic_5', 'topic_9_10']",False
165,10878,['topic_4'],False
166,1088,"['topic_10_21', 'topic_5', 'topic_0', 'topic_1', 'topic_6', 'topic_18', 'topic_18', 'topic_13', 'topic_2', 'topic_5_9_17_21', 'topic_9']",False
167,10880,"['topic_8', 'topic_21', 'topic_2']",False
168,10885,"['topic_9', 'topic_1', 'topic_1']",False
169,1089,"['topic_5_9', 'topic_9_10', 'topic_4', 'topic_6', 'topic_1', 'topic_7', 'topic_12_15']",False
170,10891,"['topic_8', 'topic_9', 'topic_0_18', 'topic_2']",False
171,10893,"['topic_2_8', 'topic_4', 'topic_1']",False
172,109,"['topic_10', 'topic_1', 'topic_15', 'topic_10']",False
173,10901,"['topic_4_5', 'topic_4_9_10', 'topic_4', 'topic_4_8']",False
174,10902,"['topic_5_8', 'topic_10', 'topic_9_10', 'topic_0', 'topic_7', 'topic_18', 'topic_7', 'topic_2']",False
175,10903,['topic_1'],False
176,10916,"['topic_4', 'topic_9', 'topic_9_15', 'topic_0', 'topic_18', 'topic_7', 'topic_15']",False
177,10923,"['topic_4', 'topic_7_12']",False
178,10925,"['topic_10', 'topic_2']",False
179,10931,"['topic_9', 'topic_10', 'topic_9_10', 'topic_4', 'topic_11', 'topic_0']",False
180,10935,"['topic_3_19', 'topic_12', 'topic_7_10', 'topic_16', 'topic_2_7_8', 'topic_4_7_9', 'topic_9_10']",False
181,1094,"['topic_8', 'topic_9', 'topic_4', 'topic_10']",False
182,10945,"['topic_7', 'topic_4_8_10', 'topic_5', 'topic_5', 'topic_1', 'topic_1']",False
183,10946,"['topic_10', 'topic_1']",False
184,10949,"['topic_4', 'topic_11', 'topic_9_17_21', 'topic_20', 'topic_6', 'topic_18', 'topic_7', 'topic_0', 'topic_15', 'topic_5', 'topic_21', 'topic_2_8', 'topic_21', 'topic_9', 'topic_10']",False
185,1095,"['topic_10', 'topic_9', 'topic_4', 'topic_1', 'topic_18', 'topic_15', 'topic_0', 'topic_3', 'topic_10', 'topic_2']",False
186,10951,"['topic_4', 'topic_10', 'topic_1', 'topic_21', 'topic_8', 'topic_21']",False
187,1097,['topic_9'],False
188,10972,"['topic_6', 'topic_6', 'topic_9', 'topic_1', 'topic_18', 'topic_3', 'topic_3', 'topic_12', 'topic_12', 'topic_12', 'topic_9', 'topic_0']",False
189,10979,['topic_4'],False
190,10983,"['topic_9', 'topic_4', 'topic_1', 'topic_20', 'topic_9', 'topic_5', 'topic_6_10', 'topic_12', 'topic_6', 'topic_6', 'topic_1', 'topic_12', 'topic_15', 'topic_15', 'topic_2_8']",False
191,10987,"['topic_8', 'topic_4', 'topic_5', 'topic_10', 'topic_9', 'topic_0', 'topic_4', 'topic_5', 'topic_20', 'topic_1', 'topic_0_18', 'topic_6', 'topic_0_11', 'topic_5', 'topic_0_10', 'topic_9_10', 'topic_2']",False
192,1099,['topic_10'],False
193,10995,"['topic_4_10', 'topic_7', 'topic_10', 'topic_3']",False
194,10996,"['topic_9', 'topic_9', 'topic_18', 'topic_15', 'topic_9', 'topic_11', 'topic_0']",False
195,10997,"['topic_9', 'topic_12']",False
196,11,"['topic_9_10', 'topic_4', 'topic_10', 'topic_10', 'topic_1_8', 'topic_1_18', 'topic_5']",False
197,11012,"['topic_9', 'topic_4', 'topic_10', 'topic_7']",False
198,11016,['topic_1'],False
199,11018,"['topic_9', 'topic_9', 'topic_6_9_21', 'topic_4', 'topic_21', 'topic_10', 'topic_10', 'topic_21', 'topic_5_7', 'topic_8', 'topic_12', 'topic_1_15', 'topic_13', 'topic_2', 'topic_9', 'topic_2', 'topic_13', 'topic_13', 'topic_13']",False
200,11026,"['topic_9', 'topic_4', 'topic_1', 'topic_10', 'topic_14']",False
201,11028,"['topic_0', 'topic_6', 'topic_8', 'topic_2_6']",False
202,11031,"['topic_5', 'topic_3_12', 'topic_5', 'topic_10_15', 'topic_9']",False
203,11034,"['topic_10', 'topic_4']",False
204,11036,"['topic_1', 'topic_18', 'topic_1']",False
205,11037,"['topic_4_9', 'topic_12', 'topic_0_7_18', 'topic_6', 'topic_1']",False
206,11042,"['topic_9', 'topic_1', 'topic_6', 'topic_1', 'topic_12', 'topic_0', 'topic_20', 'topic_10', 'topic_21', 'topic_9']",False
207,11052,"['topic_9', 'topic_4', 'topic_1', 'topic_21', 'topic_2_10']",False
208,11054,"['topic_9', 'topic_4', 'topic_10', 'topic_10', 'topic_1']",False
209,11059,"['topic_1', 'topic_12', 'topic_2', 'topic_2']",False
210,11060,"['topic_1', 'topic_2_8']",False
211,11062,"['topic_9', 'topic_10', 'topic_12', 'topic_2', 'topic_1_5', 'topic_10_12', 'topic_18', 'topic_1', 'topic_21', 'topic_2']",False
212,11071,"['topic_1_2_8_9', 'topic_12', 'topic_0_12_18', 'topic_7_12', 'topic_12', 'topic_6_7']",False
213,11076,"['topic_10', 'topic_9', 'topic_1', 'topic_21']",False
