,segment_lenght
37300,0 days 00:03:24.860000000
37320,0 days 00:02:30.830000000
37327,0 days 00:02:44.950000000
37990,0 days 00:04:14.920000000
38001,0 days 00:06:31.110000000
38014,0 days 00:04:18.850000000
38023,0 days 00:03:16.030000000
38027,0 days 00:05:01.110000000
38036,0 days 00:04:22.900000000
38043,0 days 00:06:08.220000000
38059,0 days 00:06:46.810000000
38067,0 days 00:04:58.040000000
38075,0 days 00:03:58.150000000
38082,0 days 00:04:36.810000000
38091,0 days 00:01:04.930000000
38097,0 days 00:02:19.230000000
38103,0 days 00:01:04.740000000
38707,0 days 00:04:42.090000000
39652,0 days 00:02:22.870000000
39659,0 days 00:03:33.230000000
39666,0 days 00:04:59.030000000
39676,0 days 00:04:16.900000000
39685,0 days 00:03:21.870000000
39887,0 days 00:05:08.830000000
39893,0 days 00:04:39.990000000
39902,0 days 00:02:54.930000000
39906,0 days 00:08:40.170000000
40203,0 days 00:03:26.870000000
40215,0 days 00:06:17.980000000
40231,0 days 00:02:52.900000000
40240,0 days 00:04:36.810000000
40246,0 days 00:03:00.120000000
40250,0 days 00:03:44.080000000
41605,0 days 00:03:37.250000000
41614,0 days 00:05:20.930000000
41621,0 days 00:04:44.010000000
41644,0 days 00:05:35.170000000
41654,0 days 00:05:38.870000000
41876,0 days 00:02:26.090000000
41887,0 days 00:03:29.940000000
41896,0 days 00:04:22.150000000
41906,0 days 00:02:38.000000000
41915,0 days 00:03:59.980000000
41924,0 days 00:04:30.960000000
41934,0 days 00:02:05.980000000
41945,0 days 00:02:49.780000000
41956,0 days 00:00:23.870000000
44188,0 days 00:06:49.020000000
45637,0 days 00:01:42.210000000
45643,0 days 00:05:07.830000000
45653,0 days 00:04:03.100000000
46409,0 days 00:04:41.070000000
46422,0 days 00:04:28.780000000
47417,0 days 00:02:27.010000000
47426,0 days 00:03:48.820000000
47433,0 days 00:02:48.010000000
47439,0 days 00:05:55.250000000
47458,0 days 00:05:50.080000000
47472,0 days 00:02:07.130000000
47480,0 days 00:03:40.260000000
47489,0 days 00:03:38.040000000
47688,0 days 00:05:15.160000000
47693,0 days 00:04:46.970000000
48723,0 days 00:07:09.900000000
